sayfa_sayisi,satis_sayisi,fiyati,indirim_yuzdesi,puan,kazanc,yorum_sayisi,toplam_gun
594,16990,24.7,35.0,42,13.3,587.0,578
208,15115,20.24,37.0,32,11.76,170.0,886
148,18635,15.18,34.0,22,7.82,684.0,734
690,16749,33.8,35.0,58,18.2,727.0,601
36,6002,7.26,40.0,14,4.74,218.0,589
120,4168,16.68,43.0,38,12.33,48.0,158
208,13892,20.24,37.0,34,11.76,148.0,1034
66,12216,4.58,45.0,10,3.75,465.0,1634
127,16280,14.95,35.0,26,8.05,188.0,164
36,15367,16.25,35.0,30,8.75,527.0,471
32,10162,15.13,40.0,26,9.88,298.0,1094
32,16674,21.0,50.0,36,21.0,625.0,881
292,9984,10.4,35.0,20,5.6,273.0,487
192,3338,20.77,35.0,48,11.23,74.0,485
112,8357,5.2,35.0,10,2.8,409.0,532
28,3303,13.95,35.0,30,7.55,56.0,341
36,4256,11.05,35.0,20,5.95,113.0,940
200,8960,16.25,35.0,28,8.75,184.0,1306
200,15469,11.8,40.0,18,7.7,209.0,735
36,3148,13.64,35.0,26,7.36,90.0,448
240,3445,18.98,37.0,42,11.03,53.0,441
102,12912,10.56,34.0,18,5.44,524.0,288
320,7029,18.0,40.0,20,12.0,181.0,654
32,7590,9.0,40.0,36,6.0,253.0,670
108,19552,6.0,40.0,12,4.0,426.0,773
212,4274,2.9,59.0,10,4.1,63.0,603
32,8010,7.2,40.0,14,4.8,293.0,730
48,4876,2.9,59.0,10,4.1,89.0,604
88,8577,22.04,42.0,32,15.96,116.0,143
22,3866,6.0,40.0,12,4.0,110.0,618
204,14232,11.8,40.0,20,7.7,188.0,660
320,9435,28.76,69.0,92,62.91,169.0,748
80,5720,5.2,35.0,10,2.8,270.0,532
372,15837,22.7,35.0,42,12.3,599.0,698
40,4698,8.4,40.0,14,5.6,113.0,632
60,4459,29.1,35.0,44,15.9,95.0,1285
32,4725,7.2,40.0,14,4.8,129.0,589
36,3525,13.65,35.0,24,7.35,117.0,687
160,9850,11.39,37.0,20,6.62,171.0,3550
36,2438,13.64,35.0,26,7.36,67.0,448
136,15132,7.2,40.0,12,4.8,309.0,422
48,4329,22.18,40.0,36,14.82,92.0,372
170,8625,14.94,32.0,28,7.06,279.0,2928
68,8626,16.9,35.0,28,9.1,99.0,637
480,2579,20.13,43.0,44,14.88,50.0,622
224,7715,16.34,40.0,34,10.67,82.0,1093
192,10398,18.79,30.0,28,8.21,185.0,1421
128,23232,9.0,40.0,16,6.0,258.0,413
36,4987,11.05,35.0,16,5.95,114.0,1102
24,5957,4.8,40.0,10,3.2,135.0,497
192,9362,14.95,35.0,22,8.05,102.0,688
36,2337,13.65,35.0,28,7.35,65.0,498
24,4148,6.0,40.0,12,4.0,96.0,589
204,3073,2.9,59.0,10,4.1,67.0,594
32,5254,16.25,35.0,26,8.75,144.0,1094
80,5869,36.52,35.0,64,19.48,134.0,923
176,3030,16.25,35.0,28,8.75,51.0,685
112,7716,35.25,35.0,62,18.75,201.0,1098
36,4759,11.05,35.0,16,5.95,122.0,1103
56,3244,16.5,40.0,30,11.0,145.0,164
32,3665,11.39,40.0,16,7.61,53.0,471
71,13618,6.5,35.0,12,3.5,227.0,443
28,3101,12.2,36.0,22,6.8,75.0,261
48,4222,13.91,42.0,22,10.09,40.0,619
112,10719,20.3,42.0,28,14.7,204.0,563
24,4441,4.8,40.0,8,3.2,120.0,632
50,6509,5.2,35.0,10,2.8,382.0,737
128,21033,9.0,40.0,16,6.0,272.0,669
36,1902,11.05,35.0,24,5.95,29.0,313
64,3989,11.05,35.0,22,5.95,62.0,1200
192,2979,12.0,40.0,24,8.0,38.0,96
320,2418,18.0,40.0,22,12.0,58.0,654
384,2728,21.88,38.0,32,13.13,65.0,794
92,2382,2.9,59.0,10,4.1,33.0,594
104,7198,19.49,35.0,34,10.49,214.0,1386
160,4279,3.25,35.0,6,1.75,90.0,430
136,4994,3.25,35.0,6,1.75,107.0,532
201,1767,13.77,25.0,24,4.59,27.0,631
32,2475,26.94,40.0,38,18.06,72.0,168
240,5151,24.04,37.0,38,13.97,169.0,519
216,3781,12.68,35.0,24,6.82,35.0,540
136,6003,3.25,35.0,6,1.75,105.0,532
32,1769,14.99,40.0,16,10.01,55.0,129
40,3969,25.31,35.0,36,13.69,84.0,735
36,2415,11.05,35.0,20,5.95,27.0,940
60,2761,3.49,30.0,6,1.5,50.0,1199
120,2306,2.9,59.0,10,4.1,31.0,594
112,4689,37.0,36.0,74,21.0,172.0,1098
112,3579,6.5,50.0,10,6.5,97.0,1800
68,4362,15.34,36.0,24,8.66,98.0,485
148,12560,11.5,40.0,18,7.51,149.0,395
188,2398,33.69,25.0,46,11.31,40.0,750
224,3966,18.98,37.0,30,11.03,82.0,2133
180,3258,15.6,35.0,20,8.4,33.0,507
87,21332,8.98,36.0,12,5.02,328.0,2189
32,4390,17.39,37.0,30,10.11,126.0,895
200,4125,6.5,35.0,12,3.5,258.0,555
160,5252,11.39,37.0,20,6.62,103.0,2123
40,5008,25.97,35.0,38,14.03,149.0,1564
24,2775,6.0,40.0,12,4.0,90.0,783
28,2924,12.2,36.0,22,6.8,67.0,261
64,2290,2.9,59.0,10,4.1,39.0,604
48,3368,3.9,35.0,8,2.1,207.0,650
64,2631,8.45,35.0,14,4.55,50.0,532
152,4232,3.25,35.0,6,1.75,91.0,590
24,2914,3.6,40.0,6,2.4,75.0,730
24,1517,7.2,40.0,16,4.8,32.0,667
24,2848,4.8,40.0,10,3.2,45.0,591
176,1984,13.75,31.0,28,6.25,10.0,339
264,4078,7.8,35.0,14,4.2,144.0,712
28,2518,12.2,36.0,22,6.8,54.0,261
96,1585,38.28,42.0,72,27.72,8.0,231
176,3677,7.5,38.0,10,4.5,48.0,2197
32,2426,8.4,40.0,14,5.6,118.0,664
36,1950,13.65,35.0,26,7.35,62.0,621
160,7495,11.39,37.0,18,6.62,130.0,2928
144,2380,7.2,40.0,16,4.8,103.0,610
136,3682,21.74,36.0,34,12.26,61.0,1028
184,2460,21.0,40.0,32,14.0,31.0,626
208,3146,18.98,37.0,30,11.03,49.0,1599
160,5954,13.92,37.0,28,8.09,75.0,1710
144,4064,3.25,35.0,6,1.75,95.0,430
96,4432,16.62,36.0,30,9.38,43.0,437
48,1380,18.2,35.0,40,9.8,18.0,434
24,2378,6.0,40.0,12,4.0,71.0,632
28,2471,12.2,36.0,22,6.8,54.0,230
144,2382,11.39,37.0,18,6.62,37.0,2236
24,2258,6.0,40.0,12,4.0,39.0,589
32,3413,7.2,40.0,14,4.8,105.0,398
28,3380,12.02,35.0,16,6.48,67.0,425
144,8180,11.39,37.0,18,6.62,154.0,3659
96,5188,16.62,36.0,30,9.38,56.0,507
96,14430,8.98,36.0,12,5.02,185.0,2189
60,1622,18.0,40.0,40,12.0,54.0,554
184,12414,9.24,34.0,18,4.76,145.0,189
64,4749,7.5,40.0,12,5.0,134.0,664
88,1978,3.5,30.0,6,1.5,21.0,1199
40,3957,14.55,37.0,30,8.45,125.0,476
32,1894,16.88,35.0,32,9.12,46.0,1250
32,3940,16.23,35.0,28,8.78,85.0,1351
36,3311,7.8,35.0,14,4.2,1.0,601
272,3303,9.1,35.0,16,4.9,185.0,464
48,9066,25.31,35.0,38,13.69,254.0,731
76,3522,16.9,35.0,30,9.1,44.0,2926
144,3107,28.74,36.0,46,16.26,97.0,2026
132,3608,24.55,32.0,38,11.45,64.0,742
32,4558,7.7,23.0,8,2.3,189.0,2928
178,2959,14.95,35.0,22,8.05,90.0,447
216,4875,16.34,40.0,32,10.67,58.0,1710
32,3850,7.2,40.0,14,4.8,137.0,730
160,8989,13.0,35.0,20,7.0,135.0,666
40,3933,25.31,35.0,38,13.69,102.0,1015
252,3741,17.55,35.0,24,9.45,62.0,554
24,1361,6.0,40.0,12,4.0,24.0,541
32,3107,7.2,40.0,14,4.8,120.0,626
240,6158,15.32,36.0,28,8.68,56.0,451
176,2569,12.99,35.0,24,7.01,28.0,541
32,2748,11.09,40.0,16,7.41,59.0,579
128,2786,13.0,35.0,22,7.0,40.0,807
224,33401,15.0,40.0,28,10.0,1085.0,450
32,6345,10.4,35.0,18,5.6,162.0,4616
28,1387,12.02,37.0,22,6.98,40.0,230
32,1260,7.2,40.0,16,4.8,48.0,607
32,2905,17.86,36.0,32,10.14,82.0,479
56,1915,12.6,40.0,18,8.4,46.0,563
240,2195,16.8,40.0,34,11.2,50.0,409
192,1451,7.8,35.0,16,4.2,73.0,670
32,2767,5.21,42.0,10,3.79,112.0,1127
96,3895,3.25,35.0,6,1.75,88.0,433
240,2093,18.0,35.0,34,9.69,56.0,1457
24,2143,6.0,40.0,12,4.0,57.0,594
168,7433,11.39,37.0,20,6.62,84.0,408
40,2984,25.97,35.0,38,14.03,80.0,1298
32,3512,17.39,37.0,24,10.11,96.0,1040
160,6899,11.39,37.0,18,6.62,114.0,4624
72,2046,3.49,30.0,6,1.5,37.0,1199
48,3267,26.59,32.0,48,12.41,63.0,122
16,2856,4.8,40.0,10,3.2,55.0,533
24,1952,4.8,40.0,10,3.2,38.0,632
176,6273,13.0,35.0,20,7.0,74.0,310
48,1180,9.6,40.0,16,6.4,25.0,310
288,3116,7.5,38.0,12,4.5,67.0,1826
32,1155,26.97,40.0,118,18.03,30.0,343
16,1135,6.75,25.0,12,2.25,26.0,414
32,4614,17.39,37.0,30,10.11,156.0,962
129,1415,6.0,50.0,14,6.0,13.0,619
92,3616,16.62,36.0,30,9.38,33.0,451
184,3860,16.8,40.0,28,11.2,96.0,1823
32,2191,16.25,35.0,26,8.75,54.0,1094
28,2043,12.2,36.0,22,6.8,43.0,261
480,2679,38.88,40.0,70,26.12,59.0,1039
32,2991,16.23,35.0,34,8.77,63.0,2030
240,1541,2.9,59.0,10,4.1,24.0,594
216,5504,17.08,37.0,32,9.92,69.0,1710
128,1032,8.39,40.0,18,5.61,9.0,317
61,1819,3.5,30.0,6,1.5,27.0,1199
272,1764,14.7,40.0,32,9.8,34.0,582
127,2806,13.0,35.0,22,7.0,49.0,834
1078,3500,79.7,37.0,124,46.31,82.0,2960
44,2851,18.34,37.0,28,10.66,81.0,531
80,1430,3.49,30.0,6,1.5,7.0,843
24,1771,6.0,40.0,12,4.0,53.0,471
168,4146,14.52,34.0,24,7.48,60.0,1458
4046,5386,185.9,35.0,328,100.1,204.0,1142
24,3086,4.8,40.0,10,3.2,70.0,497
32,2916,7.2,40.0,14,4.8,91.0,398
152,4838,13.0,35.0,18,7.0,41.0,424
112,2229,7.59,37.0,12,4.41,35.0,3376
44,1679,17.93,36.0,32,10.07,16.0,1339
257,3076,9.1,35.0,16,4.9,128.0,482
96,2521,14.3,35.0,14,7.7,84.0,582
36,3233,14.5,42.0,22,10.5,53.0,855
112,2570,3.25,35.0,6,1.75,65.0,546
160,5384,11.39,37.0,18,6.62,80.0,3811
100,3909,14.85,45.0,16,12.15,177.0,3230
182,5121,11.39,37.0,18,6.62,83.0,3234
144,6186,22.38,36.0,42,12.62,320.0,616
152,6085,11.39,37.0,18,6.62,140.0,2920
128,2492,7.59,37.0,12,4.41,38.0,2280
160,2624,15.6,35.0,28,8.4,25.0,610
160,8243,12.65,37.0,20,7.35,149.0,486
36,3872,17.9,36.0,34,10.1,119.0,532
192,1317,2.9,59.0,10,4.1,30.0,560
152,6444,10.89,40.0,18,7.11,72.0,670
36,1026,13.65,35.0,28,7.35,25.0,95
480,1010,45.0,40.0,88,30.0,16.0,637
8,1147,3.9,29.0,8,1.6,24.0,1097
32,995,16.9,35.0,38,9.1,18.0,728
40,3120,11.68,35.0,20,6.32,41.0,554
184,3094,16.8,40.0,24,11.2,58.0,949
68,1905,3.5,30.0,6,1.5,26.0,1199
63,2376,9.75,35.0,16,5.25,30.0,472
272,1792,18.0,35.0,34,9.69,32.0,829
576,1643,12.35,35.0,24,6.65,79.0,449
32,2547,16.88,35.0,30,9.12,55.0,1078
24,3903,9.75,35.0,14,5.25,121.0,563
144,983,11.5,43.0,24,8.5,10.0,162
184,2713,16.8,40.0,28,11.2,39.0,949
40,2272,16.25,35.0,26,8.75,45.0,1094
24,1898,3.6,40.0,6,2.4,40.0,573
8,1110,3.9,29.0,8,1.6,21.0,1097
168,3164,11.39,37.0,18,6.62,62.0,1219
16,2567,4.8,40.0,10,3.2,72.0,533
32,973,7.8,35.0,16,4.2,30.0,607
64,1639,9.49,37.0,16,5.51,13.0,388
60,1191,2.9,59.0,10,4.1,26.0,639
34,3604,5.39,23.0,8,1.61,162.0,400
16,952,6.75,25.0,12,2.25,13.0,414
29,1843,7.2,40.0,12,4.8,42.0,665
50,1592,3.49,30.0,6,1.5,15.0,1199
79,1453,3.49,30.0,6,1.5,10.0,835
24,960,8.25,25.0,16,2.75,21.0,414
48,913,22.29,34.0,42,11.71,21.0,198
8,1060,3.9,29.0,8,1.6,15.0,958
112,3180,3.25,35.0,6,1.75,85.0,554
40,922,25.31,35.0,48,13.69,21.0,516
8,1055,3.9,29.0,8,1.6,21.0,1097
30,1182,17.39,37.0,30,10.11,31.0,1091
112,1482,41.56,35.0,90,22.44,21.0,622
16,2613,4.8,40.0,8,3.2,61.0,709
28,979,21.0,25.0,40,7.0,37.0,414
12,2414,5.75,36.0,8,3.25,68.0,1599
144,1493,11.39,37.0,18,6.62,21.0,2184
12,2173,5.45,40.0,8,3.56,77.0,1599
96,3159,4.88,35.0,6,2.63,38.0,632
120,1943,3.49,30.0,6,1.5,10.0,843
184,3183,16.78,40.0,28,11.22,47.0,983
112,1767,37.08,36.0,74,20.92,43.0,906
32,1230,9.0,40.0,20,6.0,24.0,615
196,1212,2.9,59.0,10,4.1,19.0,594
136,1685,6.25,38.0,12,3.75,21.0,1733
60,1405,3.49,30.0,8,1.5,20.0,1199
12,1588,29.25,35.0,46,15.75,53.0,65
200,2586,12.65,37.0,18,7.35,84.0,1416
56,2476,14.42,34.0,26,7.58,29.0,751
96,2705,3.25,35.0,6,1.75,61.0,779
296,1210,18.34,37.0,38,10.66,37.0,1568
352,1406,63.68,35.0,102,33.82,18.0,1395
20,1557,2.6,35.0,4,1.4,56.0,1157
208,4790,18.34,37.0,32,10.66,47.0,1710
32,1413,20.46,36.0,34,11.54,33.0,849
12,1828,14.52,27.0,20,5.38,42.0,1401
160,6382,11.39,37.0,18,6.62,109.0,4221
136,917,12.02,37.0,28,6.98,8.0,476
480,3079,45.0,40.0,84,30.0,78.0,478
168,2197,7.5,38.0,12,4.5,39.0,1826
32,2131,8.31,36.0,14,4.69,54.0,2333
28,1371,16.9,35.0,34,9.1,39.0,707
112,2223,7.59,37.0,12,4.41,29.0,2303
640,2425,50.95,40.0,72,34.05,40.0,779
103,1171,3.5,30.0,6,1.5,12.0,817
24,1199,7.76,48.0,20,7.24,28.0,246
408,2773,6.56,56.0,14,8.44,83.0,1140
24,2504,14.93,35.0,28,8.07,48.0,1351
104,2386,3.25,35.0,6,1.75,58.0,433
112,2816,19.49,35.0,34,10.49,84.0,1386
40,2166,16.25,35.0,30,8.75,52.0,720
120,3300,3.25,35.0,6,1.75,73.0,722
36,1325,13.65,35.0,24,7.35,27.0,687
144,3294,9.0,40.0,18,6.0,50.0,504
68,3001,15.34,36.0,28,8.66,26.0,171
16,2116,4.8,40.0,10,3.2,48.0,589
174,3165,15.34,36.0,26,8.66,40.0,507
12,1988,14.52,27.0,20,5.38,53.0,1401
24,1952,9.1,35.0,14,4.9,69.0,1426
40,1394,3.49,30.0,8,1.5,23.0,1199
280,2296,8.45,35.0,16,4.55,119.0,638
336,1029,24.06,31.0,24,10.94,71.0,2976
184,2108,16.8,40.0,28,11.2,33.0,1069
40,1936,10.4,35.0,20,5.6,37.0,472
160,1709,18.0,40.0,38,12.0,45.0,350
156,1425,20.46,36.0,38,11.54,26.0,692
32,2521,14.93,35.0,28,8.07,52.0,1351
164,2244,15.6,35.0,28,8.4,18.0,698
144,4757,22.75,35.0,32,12.25,188.0,680
96,2384,13.0,35.0,18,7.0,31.0,461
64,2678,7.5,40.0,12,5.0,66.0,441
160,2071,7.76,43.0,14,5.74,28.0,1085
36,848,11.05,35.0,24,5.95,21.0,498
24,867,9.1,35.0,20,4.9,9.0,498
28,2390,16.23,35.0,34,8.77,45.0,2241
8,913,3.9,29.0,8,1.6,14.0,793
272,3535,20.8,35.0,30,11.2,49.0,491
248,2496,7.2,40.0,14,4.8,106.0,598
64,2002,10.49,40.0,14,7.01,17.0,670
80,2729,3.0,40.0,6,2.0,55.0,716
64,2420,22.38,30.0,46,9.62,69.0,1512
28,2269,16.9,35.0,34,9.1,71.0,1306
367,2430,13.0,35.0,24,7.0,98.0,615
672,839,61.88,31.0,124,28.13,10.0,441
184,2996,16.8,40.0,28,11.2,41.0,1078
112,2540,19.49,35.0,34,10.49,59.0,1386
47,2284,4.8,40.0,10,3.2,56.0,632
160,4866,11.39,37.0,18,6.62,86.0,4115
96,2254,7.19,40.0,14,4.81,43.0,372
16,2333,4.8,40.0,10,3.2,54.0,709
320,4968,18.0,40.0,22,12.0,160.0,1015
56,900,8.63,43.0,16,6.38,12.0,425
336,1491,17.08,37.0,28,9.92,23.0,561
88,2855,17.9,36.0,20,10.1,48.0,610
70,782,45.5,35.0,92,24.5,28.0,697
328,870,19.5,35.0,40,10.5,30.0,132
47,1970,5.2,35.0,10,2.8,41.0,685
28,1287,12.02,37.0,22,6.98,21.0,230
120,2564,3.0,40.0,6,2.0,55.0,584
480,2590,54.0,40.0,78,36.0,72.0,654
47,2147,5.2,35.0,10,2.8,49.0,770
8,868,3.9,29.0,8,1.6,15.0,793
12,2013,5.75,36.0,8,3.25,41.0,1599
220,1199,2.9,59.0,10,4.1,29.0,594
16,2280,5.2,35.0,10,2.8,46.0,665
96,2180,3.25,35.0,6,1.75,56.0,430
96,1181,8.77,35.0,14,4.73,13.0,456
70,2733,11.05,35.0,18,5.95,23.0,547
96,6728,9.1,35.0,12,4.9,108.0,2189
80,1104,29.31,29.0,58,11.69,27.0,1175
24,2429,5.11,36.0,10,2.89,63.0,497
40,748,12.36,31.0,26,5.64,4.0,345
128,1286,15.0,40.0,22,10.0,24.0,1092
8,1483,29.25,35.0,46,15.75,51.0,65
176,1799,16.48,40.0,28,11.02,28.0,167
192,2669,3.0,40.0,6,2.0,69.0,584
184,2601,16.8,40.0,28,11.2,33.0,949
224,6169,31.85,35.0,62,17.15,142.0,685
64,1169,9.38,38.0,18,5.63,13.0,598
24,812,6.0,40.0,12,4.0,12.0,458
144,3307,22.7,35.0,42,12.3,124.0,699
96,1628,45.0,40.0,86,30.0,40.0,479
216,3289,11.7,35.0,22,6.3,37.0,471
24,1526,3.6,40.0,6,2.4,24.0,573
88,1378,9.49,37.0,16,5.51,12.0,983
32,733,16.88,35.0,38,9.12,10.0,359
232,1902,15.81,37.0,26,9.19,27.0,475
72,721,9.75,35.0,16,5.25,7.0,728
240,1688,34.79,37.0,54,20.21,46.0,2221
183,2939,13.99,36.0,26,8.01,33.0,164
40,1363,25.97,35.0,38,14.03,36.0,961
48,1258,31.5,30.0,56,13.5,18.0,372
96,2018,29.1,37.0,50,16.91,31.0,735
200,2716,16.9,40.0,36,11.1,33.0,1343
70,1415,3.5,30.0,6,1.5,17.0,1199
87,962,3.49,30.0,6,1.5,10.0,880
28,2367,16.25,35.0,34,8.75,46.0,2092
24,780,7.2,40.0,16,4.8,16.0,453
72,2767,3.25,35.0,6,1.75,65.0,506
184,2566,16.78,40.0,28,11.22,42.0,1365
24,744,7.8,35.0,16,4.2,21.0,356
44,2210,25.32,35.0,28,13.68,44.0,476
72,2082,3.25,35.0,6,1.75,53.0,969
32,1693,9.72,35.0,12,5.23,43.0,1398
160,1685,16.5,40.0,28,11.0,27.0,631
72,2068,22.07,37.0,42,12.83,36.0,849
32,2261,17.9,36.0,34,10.1,47.0,653
24,720,7.67,36.0,16,4.33,21.0,667
160,765,15.0,40.0,32,10.0,22.0,168
16,800,22.75,35.0,40,12.25,26.0,552
96,4267,45.0,40.0,84,30.0,94.0,540
68,1232,8.39,40.0,16,5.61,7.0,451
24,1502,5.2,35.0,10,2.8,25.0,533
32,888,9.0,40.0,20,6.0,16.0,615
96,2040,3.25,35.0,6,1.75,64.0,546
112,2879,6.0,40.0,14,4.0,36.0,2453
40,719,17.53,35.0,34,9.47,31.0,503
184,2728,16.78,40.0,28,11.22,42.0,1088
28,1853,15.98,36.0,30,9.02,46.0,714
208,3840,22.14,37.0,36,12.86,33.0,1772
36,1505,7.2,40.0,14,4.8,43.0,681
96,1183,3.25,35.0,6,1.75,23.0,631
12,1266,12.93,35.0,20,6.97,48.0,958
24,709,7.8,35.0,16,4.2,25.0,453
24,1654,7.92,34.0,12,4.08,34.0,745
112,2286,3.25,35.0,6,1.75,62.0,722
344,1946,13.0,35.0,22,7.0,67.0,650
24,1696,4.8,40.0,8,3.2,36.0,469
144,2547,9.0,40.0,18,6.0,46.0,615
224,1911,14.95,35.0,22,8.05,42.0,447
96,2561,46.05,39.0,88,28.95,73.0,541
96,2320,4.65,38.0,4,2.85,46.0,623
28,1062,8.16,37.0,12,4.74,35.0,1200
80,2039,3.25,35.0,6,1.75,42.0,779
80,2613,3.9,35.0,8,2.1,47.0,352
24,1265,5.2,35.0,10,2.8,23.0,713
160,3554,11.39,37.0,18,6.62,52.0,2753
24,1166,6.0,40.0,12,4.0,24.0,784
48,1935,18.91,37.0,36,10.99,35.0,779
164,693,15.34,36.0,30,8.66,7.0,450
28,1053,12.02,37.0,22,6.98,13.0,709
32,2640,1.95,35.0,4,1.05,84.0,534
92,1906,9.75,35.0,12,5.25,15.0,164
40,677,14.99,40.0,28,10.01,18.0,637
34,1475,17.71,37.0,34,10.29,51.0,295
24,1266,5.2,35.0,10,2.8,30.0,594
20,1417,5.4,40.0,10,3.6,40.0,434
12,1616,14.52,27.0,20,5.38,43.0,1401
302,735,2.9,59.0,10,4.1,10.0,447
32,2388,1.95,35.0,4,1.05,62.0,265
16,1897,4.8,40.0,10,3.2,41.0,631
44,675,22.75,35.0,48,12.25,25.0,486
32,680,8.16,37.0,18,4.74,9.0,128
32,675,8.16,37.0,18,4.74,7.0,128
24,1787,5.2,35.0,10,2.8,44.0,591
32,4060,20.56,36.0,34,11.44,191.0,1098
31,2361,1.95,35.0,4,1.05,58.0,1015
36,1006,18.22,35.0,34,9.78,10.0,500
32,2351,1.95,35.0,4,1.05,66.0,534
24,1456,5.2,35.0,10,2.8,29.0,469
32,2327,1.95,35.0,4,1.05,64.0,1015
320,4053,18.0,40.0,32,12.0,115.0,1015
23,1596,9.1,35.0,14,4.9,37.0,1228
16,2126,5.2,35.0,10,2.8,49.0,589
12,1706,5.75,36.0,8,3.25,38.0,1599
32,956,9.75,35.0,20,5.25,24.0,615
176,9239,19.5,35.0,38,10.5,243.0,515
36,1771,7.19,40.0,14,4.81,45.0,371
28,2141,11.99,37.0,20,7.01,87.0,448
64,1829,22.38,30.0,44,9.62,54.0,372
120,2019,3.25,35.0,6,1.75,39.0,554
8,1258,18.2,35.0,26,9.8,25.0,1024
28,2569,17.9,36.0,22,10.1,79.0,1037
74,985,2.9,59.0,10,4.1,17.0,604
192,910,2.9,59.0,10,4.1,11.0,594
148,1098,2.9,59.0,10,4.1,16.0,594
32,2267,1.95,35.0,4,1.05,50.0,1015
32,2404,1.95,35.0,4,1.05,66.0,1015
152,1494,3.25,35.0,6,1.75,35.0,569
224,959,3.25,35.0,6,1.75,13.0,393
20,1088,5.4,40.0,10,3.6,18.0,681
87,1075,3.49,30.0,6,1.5,7.0,786
36,1165,13.8,40.0,24,9.2,51.0,505
36,659,18.58,40.0,36,12.42,23.0,456
104,2427,3.25,35.0,6,1.75,72.0,455
24,1398,5.2,35.0,10,2.8,23.0,713
22,1453,9.1,35.0,14,4.9,31.0,1228
16,702,21.0,40.0,40,14.0,19.0,552
48,1169,6.17,35.0,10,3.33,22.0,490
104,830,11.05,35.0,22,5.95,11.0,574
72,785,3.25,35.0,6,1.75,7.0,393
8,1205,18.2,35.0,26,9.8,29.0,1024
47,1751,5.2,35.0,10,2.8,32.0,497
16,1987,5.2,35.0,10,2.8,40.0,647
32,2613,1.95,35.0,4,1.05,78.0,534
40,701,5.28,34.0,10,2.72,23.0,786
176,3002,11.39,37.0,18,6.62,41.0,2533
144,2643,9.0,40.0,18,6.0,52.0,633
12,1268,5.75,36.0,8,3.25,25.0,1261
32,678,10.92,22.0,20,3.08,10.0,629
160,2764,9.24,34.0,18,4.76,28.0,414
32,731,15.18,37.0,28,8.82,21.0,576
96,1552,44.88,40.0,86,30.12,27.0,776
104,2104,21.13,35.0,34,11.38,21.0,1444
96,1582,7.19,40.0,14,4.81,27.0,371
28,1264,14.55,37.0,18,8.45,62.0,1061
20,1060,2.6,35.0,4,1.4,31.0,1157
112,1811,11.07,37.0,16,6.43,36.0,449
32,1641,3.49,30.0,6,1.5,13.0,708
80,3849,6.0,40.0,10,4.0,75.0,168
128,4990,11.39,37.0,20,6.62,70.0,448
36,867,13.2,34.0,26,6.8,20.0,62
80,1055,12.02,35.0,22,6.48,15.0,713
160,764,18.75,25.0,28,6.25,7.0,639
64,944,8.78,42.0,18,6.23,11.0,598
80,2374,3.6,40.0,8,2.4,25.0,352
160,2900,38.96,35.0,52,21.04,91.0,1306
68,962,2.9,59.0,10,4.1,16.0,604
160,3061,11.39,37.0,18,6.62,43.0,4014
80,1733,9.75,35.0,12,5.25,15.0,610
120,2118,10.4,35.0,14,5.6,13.0,670
36,2458,17.9,36.0,30,10.1,75.0,601
168,741,12.02,37.0,20,6.98,8.0,703
40,1928,20.81,37.0,36,12.09,52.0,441
128,613,13.75,31.0,28,6.25,2.0,318
304,1195,12.94,48.0,22,12.06,11.0,1069
224,2120,19.76,34.0,26,10.24,21.0,450
